Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,36301,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3431,283839915,65445089,53683212,4673,26187,27145,73.593704459,566,1077,1155,633,1778,1653,2771,581,13,28,,,881,2550,0.0180705334,0.1288254153,0.2815505683,0.2086855144,0.4077528417,0.0813174002,0.4264062955,0.3672398718,0.0195278345,0.0361410667,0.0754881959,0.127076654,0.3826872632,0.193238123,0.4371903235,0.335179248,0.4806178957,0.4258233751,0.75,0.75,0.4963567473,0.1323229379,0.029728942,0.6033226465,0.2585252113,1.9664623995
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,35957,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1253,39700982,18030305,14296293,1585,8983,9408,75.714285714,157,371,438,287,706,547,1223,11,,,,,356,897,0.0151636073,0.1053471668,0.2529928172,0.251396648,0.3870710295,0.057462091,0.3870710295,0.3383878691,0.0063846768,0.0111731844,0.0550678372,0.0861931365,0.3814844374,0.1396648045,0.4213886672,0.4517158819,0.4397446129,0.485235435,0.75,0.75,0.4588986433,0.1476456504,0.0263367917,0.5786113328,0.2601755786,1.6552509236
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,35630,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2551,183916649,41196990,34390609,3380,19187,19674,75.056448452,335,809,931,476,1348,1203,2325,183,,17,,20,639,1912,0.0105840847,0.2759702078,0.24500196,0.236377891,0.42375539,0.0552724422,0.4684437475,0.435123481,0.0313602509,0.0168561348,0.0474323795,0.1289690318,0.386123089,0.1971775774,0.4037632301,0.4366914935,0.4656997256,0.4464915719,0.75,0.75,0.5448843591,0.1736573893,0.0513524108,0.6464131713,0.2007056056,1.8951383683
010007,Mizell Memorial Hospital,702 N Main St,Opp,36467,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",329,7138928,4302341,3709270,453,1815,1848,75.069908815,48,88,123,70,195,134,305,20,,,,,113,216,0.0151975684,0.1246200608,0.2127659574,0.2917933131,0.4468085106,0.103343465,0.4316109422,0.3829787234,0.0212765957,0.0303951368,0.1306990881,0.1276595745,0.376899696,0.1519756839,0.4194528875,0.4194528875,0.443768997,0.4224924012,0.6960486322,0.75,0.443768997,0.1398176292,0.0547112462,0.5866261398,0.2006079027,1.6755471272
010008,Crenshaw Community Hospital,101 Hospital Circle,Luverne,36049,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",86,2154037,967070,776070,108,468,490,78.151162791,,18,33,,50,36,74,,,,,,37,49,0.011627907,0.1279069767,0.2325581395,0.3488372093,0.4418604651,0.1046511628,0.4418604651,0.3023255814,0.023255814,0.023255814,0.1279069767,0.0930232558,0.3255813953,0.0930232558,0.488372093,0.4302325581,0.4302325581,0.2790697674,0.6627906977,0.75,0.3604651163,0.1162790698,0.0581395349,0.5465116279,0.2093023256,1.4119050388
010011,St Vincent's East,50 Medical Park East Drive,Birmingham,35235,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1813,162321075,34825411,28570197,2388,15756,16489,72.626034197,347,578,535,353,990,823,1509,256,,20,,22,408,1405,0.0341974628,0.1566464424,0.2460011031,0.2322118036,0.4280198566,0.109762824,0.44567016,0.4031991175,0.1075565361,0.0303364589,0.1125206839,0.1268615554,0.3855488141,0.1461665747,0.4423607281,0.3463872035,0.4831770546,0.4247104247,0.75,0.75,0.5626034197,0.1075565361,0.0364037507,0.5096525097,0.2250413679,2.0120941531
010012,Dekalb Regional Medical Center,200 Med Center Drive,Fort Payne,35968,AL,01,9,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",490,41784695,6552820,5662147,608,2389,2443,74.82244898,70,159,167,94,287,203,462,12,,,,,140,350,0.012244898,0.0979591837,0.2530612245,0.312244898,0.4693877551,0.1102040816,0.4081632653,0.3693877551,0.0142857143,0.0183673469,0.0918367347,0.0979591837,0.3448979592,0.1367346939,0.4428571429,0.393877551,0.4489795918,0.406122449,0.687755102,0.75,0.487755102,0.1102040816,0.0306122449,0.5612244898,0.1224489796,1.6589909984
010016,Shelby Baptist Medical Center,1000 First Street North,Alabaster,35007,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1213,204917606,24328255,19433091,1668,8754,9330,75.247320692,152,386,430,245,662,551,1077,108,,12,,11,202,1011,0.0189612531,0.1187139324,0.2069249794,0.2448474856,0.384995878,0.0585325639,0.4212695796,0.3693322341,0.0140148392,0.0164880462,0.0412201154,0.1220115416,0.4072547403,0.2168178071,0.5671887881,0.3561417972,0.4575432811,0.5317394889,0.75,0.75,0.593569662,0.1541632317,0.0329760923,0.5655399835,0.2159934048,1.8965061642
010018,Uab Callahan Eye Hospital Authority,"1720 University Blvd, Suite 500",Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,783008,443918,175165,24,71,73,72.833333333,,14,,,,,22,,,,,,,,0,0.0833333333,0.0833333333,0.0833333333,0.2916666667,0.0416666667,0.3333333333,0.2916666667,0.0416666667,0,0.0833333333,0.2083333333,0.2916666667,0,0.25,0.2916666667,0.1666666667,0.2083333333,0.7083333333,0.75,0.5,0.2083333333,0,0.625,0.25,1.1128333333
010019,Helen Keller Memorial Hospital,1300 South Montgomery Avenue,Sheffield,35660,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1250,51319364,14696520,11933526,1644,8167,8310,75.6832,145,363,499,243,735,515,1120,117,,,,,310,940,0.0072,0.1576,0.2104,0.2128,0.436,0.04,0.4208,0.372,0.0336,0.0184,0.0344,0.1168,0.3784,0.204,0.416,0.4224,0.5032,0.4104,0.75,0.75,0.436,0.1496,0.0328,0.6488,0.1736,1.8319262183
